General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,707,20.43908809,114.661238,0.0059788,0.38233956,0.862156,1.008086,78.866256,-0.0053,100.4993,0,277.518,360.244,368.761,1022.292,0,0
,,708,20.44057622,120.610285,0.00594868,0.38168152,0.854862,1.007613,78.697555,-0.0052,100.4997,0,277.518,360.158,368.531,1022.33,0,0
,,709,20.44249193,115.682588,0.00593686,0.3808274,0.857832,1.007116,78.645521,-0.0053,100.5009,0,277.521,360.098,368.423,1022.362,0,0
,,710,20.44457697,117.93032,0.00593183,0.38004931,0.864773,1.006532,78.666051,-0.0053,100.5008,0,277.526,360.01,368.331,1022.365,0,0
,,711,20.44553652,119.051683,0.0059526,0.37968125,0.856112,1.005961,78.437101,-0.0053,100.5004,0,277.527,359.901,368.14,1022.388,0,0
,,712,20.44758855,121.886529,0.00598069,0.37919212,0.846038,1.005338,78.718083,-0.0052,100.4995,0,277.525,359.823,368.058,1022.391,0,0
,,713,20.4494935,115.619231,0.00596875,0.37880972,0.853671,1.004648,78.580618,-0.0053,100.4991,0,277.527,359.796,367.979,1022.405,0,0
,,714,20.45058925,117.118188,0.00588591,0.3784364,0.849422,1.004002,78.812855,-0.0052,100.499,0,277.517,359.741,367.796,1022.411,0,0
,,715,20.45226479,120.869207,0.00585567,0.37716754,0.837367,1.003299,78.577926,-0.0052,100.4995,0,277.518,359.644,367.584,1022.406,0,0
,,716,20.45345186,122.297117,0.0058367,0.37619696,0.835846,1.002528,78.45226,-0.0053,100.5004,0,277.519,359.487,367.271,1022.402,0,0
,,717,20.45348889,121.779771,0.00581051,0.37522489,0.823987,1.001755,78.447929,-0.0054,100.5013,0,277.528,359.405,367.153,1022.418,0,0
,,718,20.45390006,118.232783,0.0057623,0.37446605,0.872587,1.000868,78.549596,-0.0054,100.501,0,277.508,359.328,367.043,1022.405,0,0
,,719,20.45586546,121.025159,0.00574388,0.37355896,0.857782,1.00001,78.32055,-0.0054,100.5016,0,277.516,359.274,366.915,1022.384,0,0
,,720,20.45813127,117.934689,0.00565736,0.37227075,0.844409,0.999175,78.339432,-0.0055,100.5017,0,277.5,359.195,366.729,1022.386,0,0
,,721,20.46007608,118.789729,0.00563743,0.37077984,0.841109,0.99827,78.103763,-0.0055,100.5015,0,277.523,359.047,366.456,1022.39,0,0
,,722,20.46316588,116.544344,0.005693,0.3697019,0.832868,0.997359,78.075627,-0.0055,100.5019,0,277.517,358.916,366.221,1022.365,0,0
,,723,20.46613094,116.796958,0.00576713,0.36891116,0.829572,0.996849,77.970369,-0.0055,100.5027,0,277.519,358.825,366.144,1022.356,0,0
,,724,20.46892911,119.381082,0.00581928,0.36798857,0.861891,0.996943,77.946624,-0.0054,100.5013,0,277.513,358.74,366.026,1022.362,0,0
,,725,20.4718408,120.757715,0.00585971,0.36709208,0.839798,0.99722,77.932871,-0.0053,100.5009,0,277.514,358.693,365.921,1022.35,0,0
,,726,20.47517013,121.605971,0.00586454,0.36609124,0.857807,0.997479,77.922875,-0.0054,100.5003,0,277.519,358.63,365.772,1022.33,0,0
,,727,20.47649919,119.55802,0.00581468,0.36451546,0.862711,0.997756,77.921275,-0.0054,100.5006,0,277.507,358.552,365.624,1022.325,0,0
,,728,20.47769657,121.291612,0.00578631,0.36338463,0.853818,0.998063,77.857198,-0.0055,100.5004,0,277.522,358.456,365.408,1022.316,0,0
,,729,20.478794,117.361145,0.0057427,0.36213236,0.853556,0.998386,77.81957,-0.0053,100.4997,0,277.519,358.351,365.257,1022.308,0,0
,,730,20.48109095,121.628911,0.00568422,0.36083888,0.847961,0.99868,77.818339,-0.0053,100.5003,0,277.527,358.266,365.04,1022.298,0,0
,,731,20.48343963,121.698496,0.00558262,0.35987111,0.863569,0.999048,77.80458,-0.0054,100.4997,0,277.534,358.183,364.795,1022.296,0,0
,,732,20.48544654,121.934783,0.00548819,0.35815081,0.859761,0.999369,77.543262,-0.0054,100.4998,0,277.535,358.061,364.657,1022.281,0,0
,,733,20.48713247,119.109968,0.00546584,0.3561695,0.868235,0.999724,77.581311,-0.0053,100.4992,0,277.541,357.939,364.382,1022.273,0,0
,,734,20.48842769,120.336906,0.00548057,0.35482735,0.844539,1.000068,77.775753,-0.0054,100.4999,0,277.537,357.802,364.13,1022.277,0,0
,,735,20.49170596,118.821086,0.00551109,0.35356168,0.876704,1.000354,77.675973,-0.0055,100.5006,0,277.547,357.677,363.898,1022.278,0,0
,,736,20.49609536,117.772592,0.00545026,0.35244813,0.878343,1.000702,77.45871,-0.0055,100.4998,0,277.532,357.58,363.652,1022.274,0,0
,,737,20.49903214,121.446535,0.0054068,0.35126805,0.877821,1.001081,77.529944,-0.0055,100.4987,0,277.539,357.451,363.513,1022.622,0,0
,,738,20.50116804,118.482931,0.00528431,0.34960189,0.875905,1.001367,77.55811,-0.0053,100.4983,0,277.517,357.34,363.394,1022.638,0,0
,,739,20.5028487,116.459505,0.00517127,0.34801053,0.876629,1.001687,77.4139,0.0008,100.4982,0,277.529,357.242,363.274,1022.342,0,0
,,740,20.50504658,116.094278,0.00505409,0.34685968,0.881972,1.001964,77.165754,-0.0038,100.4987,0,277.531,357.164,363.185,1022.265,0,0
,,741,20.50782868,116.643089,0.00498561,0.34549373,0.878793,1.002227,77.239191,-0.0053,100.4988,0,277.542,357.083,362.983,1022.267,0,0
,,742,20.51057452,118.037639,0.00489808,0.34447483,0.882338,1.002524,77.23496,-0.0052,100.4994,0,277.517,356.959,362.764,1022.259,0,0
,,743,20.51287479,122.948991,0.00480066,0.34304306,0.872115,1.002748,77.073977,-0.0051,100.4996,0,277.509,356.835,362.539,1022.249,0,0
,,744,20.51529814,122.795279,0.00472916,0.34123547,0.888319,1.002988,77.191813,-0.0051,100.4994,0,277.519,356.716,362.325,1022.253,0,0
,,745,20.51799407,116.171945,0.00469415,0.33993905,0.894513,1.003227,76.966454,-0.0052,100.4997,0,277.528,356.604,362.111,1022.268,0,0
,,746,20.52030605,120.328197,0.00464539,0.33850356,0.898582,1.003396,76.90931,-0.0052,100.5001,0,277.514,356.486,361.887,1022.272,0,0
,,747,20.5240955,117.505411,0.00465797,0.33679038,0.886489,1.003593,77.032688,-0.0052,100.5003,0,277.522,356.362,361.736,1022.282,0,0
,,748,20.52840451,122.783301,0.00460461,0.33531193,0.890933,1.003768,76.908955,-0.0053,100.5004,0,277.521,356.267,361.584,1022.293,0,0
,,749,20.53296845,123.544609,0.00455271,0.33361632,0.902403,1.0039,76.943094,-0.0051,100.5004,0,277.511,356.182,361.472,1022.307,0,0
,,750,20.53709111,118.880521,0.00447385,0.33176454,0.894216,1.004031,76.803459,-0.0052,100.4999,0,277.513,356.096,361.34,1022.318,0,0
,,751,20.53941613,120.982043,0.00440695,0.32977256,0.887297,1.004168,76.741911,-0.0052,100.5001,0,277.525,356.019,361.227,1022.309,0,0
,,752,20.54105462,123.357307,0.0043559,0.32812407,0.898918,1.004272,76.747802,-0.0052,100.5001,0,277.52,355.927,361.018,1022.31,0,0
,,753,20.54443317,121.495281,0.0043011,0.32682314,0.904728,1.004369,76.823303,-0.0052,100.4997,0,277.5,355.777,360.758,1022.301,0,0
,,754,20.54780514,126.554187,0.00419869,0.32512296,0.903178,1.004416,76.915506,-0.0053,100.5004,0,277.518,355.625,360.582,1022.304,0,0
,,755,20.55272249,121.933536,0.00406257,0.32323992,0.902923,1.004456,76.768657,-0.0054,100.5,0,277.532,355.512,360.399,1022.323,0,0
,,756,20.5560898,119.611975,0.00393443,0.32141652,0.903621,1.00452,76.53885,-0.0053,100.5003,0,277.512,355.432,360.249,1022.333,0,0
,,757,20.55861827,116.555189,0.00379908,0.31974426,0.908595,1.0045,76.631399,-0.0053,100.4997,0,277.522,355.345,360.094,1022.322,0,0
,,758,20.56128097,116.726572,0.00366399,0.31822294,0.897945,1.004492,76.52206,-0.0053,100.4998,0,277.517,355.293,360.014,1022.319,0,0
,,759,20.56424136,118.480579,0.00353644,0.31676441,0.8895,1.004481,76.74508,-0.0052,100.4996,0,277.515,355.27,360.038,1022.315,0,0
,,760,20.56720751,117.876826,0.00336189,0.31529083,0.903532,1.004399,76.472015,-0.0052,100.4996,0,277.511,355.261,360.082,1022.301,0,0
,,761,20.57063825,115.649472,0.00323571,0.31348415,0.895419,1.004342,76.464041,-0.0053,100.4989,0,277.512,355.226,360.032,1022.292,0,0
,,762,20.57265602,121.533614,0.00312778,0.31164197,0.893092,1.004261,76.415544,-0.0053,100.4981,0,277.504,355.168,359.9,1022.295,0,0
,,763,20.57441967,120.563692,0.00307374,0.30990908,0.911327,1.00411,76.558378,-0.0053,100.4977,0,277.502,355.097,359.777,1022.298,0,0
,,764,20.57640884,118.41,0.0030339,0.30893786,0.914822,1.003993,76.322787,-0.0053,100.4981,0,277.506,355.026,359.628,1022.285,0,0
,,765,20.57923277,114.735821,0.00295874,0.30792319,0.908567,1.003839,76.363924,-0.0053,100.4989,0,277.513,354.953,359.527,1022.272,0,0
,,766,20.58262575,126.20984,0.00286188,0.3068042,0.903132,1.003637,76.262183,-0.0052,100.4986,0,277.511,354.858,359.476,1022.257,0,0
,,767,20.58495036,125.07285,0.00277124,0.30523128,0.909584,1.003459,76.335911,-0.0053,100.4987,0,277.51,354.81,359.356,1022.26,0,0
,,768,20.58666393,118.223727,0.00268447,0.30351982,0.90822,1.003224,76.243419,-0.0053,100.4981,0,277.508,354.744,359.235,1022.239,0,0
,,769,20.58796415,121.946972,0.00261261,0.30227931,0.911486,1.002952,76.258996,-0.0053,100.4993,0,277.489,354.646,359.121,1022.235,0,0
,,770,20.5899544,122.936065,0.00256659,0.30114297,0.908941,1.002692,76.161385,-0.0053,100.4991,0,277.5,354.575,359.032,1022.229,0,0
,,771,20.59255968,117.366987,0.00249086,0.30026705,0.904902,1.002378,75.992302,-0.0052,100.4984,0,277.491,354.499,358.999,1022.219,0,0
,,772,20.59500649,116.943777,0.00239411,0.29903559,0.915595,1.002087,76.139172,-0.0053,100.4987,0,277.499,354.449,358.936,1022.211,0,0
,,773,20.59729873,121.835252,0.00235607,0.29784906,0.914951,1.001752,76.120788,-0.0054,100.4999,0,277.5,354.343,358.816,1022.186,0,0
,,774,20.59916202,125.723371,0.00235262,0.29647102,0.910062,1.001376,75.921789,-0.0052,100.499,0,277.495,354.252,358.729,1022.193,0,0
,,775,20.59994842,122.234732,0.00232782,0.29544807,0.912496,1.000989,75.919823,-0.0054,100.4992,0,277.48,354.21,358.676,1022.184,0,0
,,776,20.60199463,120.033421,0.00232661,0.29484634,0.916012,1.000579,76.184933,-0.0053,100.5,0,277.493,354.176,358.654,1022.172,0,0
,,777,20.60289285,120.678048,0.00224138,0.29395227,0.918176,1.00014,76.061776,-0.0053,100.4999,0,277.494,354.087,358.509,1022.185,0,0
,,778,20.60478331,119.615536,0.00209613,0.29289905,0.915803,0.999741,75.950022,-0.0052,100.5003,0,277.502,354.028,358.396,1022.193,0,0
,,779,20.60668649,121.795378,0.00199187,0.29172924,0.911055,0.999303,75.887627,-0.0052,100.5008,0,277.493,353.994,358.388,1022.217,0,0
,,780,20.60664951,117.346413,0.00190433,0.29021665,0.918705,0.998835,75.764983,-0.0054,100.5011,0,277.48,353.947,358.282,1022.207,0,0
,,781,20.60744134,121.52757,0.00186373,0.28920273,0.926887,0.998403,75.63623,-0.0055,100.501,0,277.484,353.902,358.196,1022.221,0,0
,,782,20.60979032,118.195862,0.00186005,0.28867963,0.933568,0.997908,75.868647,-0.0054,100.5007,0,277.499,353.858,358.099,1022.231,0,0
,,783,20.61075499,120.334397,0.00181833,0.28778881,0.926361,0.997439,75.65937,-0.0052,100.5009,0,277.5,353.753,357.923,1022.241,0,0
,,784,20.61257449,115.77943,0.00174827,0.2864923,0.931983,0.996954,75.670778,-0.0053,100.5011,0,277.486,353.671,357.826,1022.256,0,0
,,785,20.61441331,117.050896,0.00172777,0.28529628,0.930862,0.996434,75.678649,-0.0054,100.5003,0,277.483,353.579,357.678,1022.246,0,0
,,786,20.61563293,117.008963,0.00167039,0.28407743,0.926714,0.99594,75.669257,-0.0053,100.4999,0,277.485,353.488,357.53,1022.243,0,0
,,787,20.61584373,120.547489,0.00163272,0.28308401,0.928746,0.99541,75.691225,-0.0054,100.4988,0,277.494,353.391,357.405,1022.231,0,0
,,788,20.61882983,117.685203,0.0015785,0.28234502,0.925291,0.994875,75.934157,-0.0053,100.4989,0,277.492,353.319,357.31,1022.205,0,0
,,789,20.62164941,122.355247,0.00147489,0.28140129,0.933336,0.99438,75.794697,-0.0054,100.4993,0,277.48,353.282,357.227,1022.199,0,0
,,790,20.62393307,119.625281,0.00136866,0.2802875,0.927103,0.993861,75.665846,-0.0053,100.4986,0,277.471,353.223,357.163,1022.19,0,0
,,791,20.62445642,122.397712,0.00127996,0.27911891,0.91913,0.993352,75.625838,-0.0053,100.4987,0,277.475,353.169,357.146,1022.198,0,0
,,792,20.62551287,120.562485,0.00121202,0.27818857,0.924599,0.992862,75.514368,-0.0053,100.4981,0,277.488,353.149,357.095,1022.197,0,0
,,793,20.62723219,119.590133,0.00122562,0.27692382,0.928394,0.992337,75.508828,-0.0054,100.498,0,277.467,353.065,357.004,1022.188,0,0
,,794,20.62970019,121.362614,0.00126396,0.27585466,0.930995,0.99182,75.678068,-0.0053,100.4984,0,277.468,352.991,356.809,1022.186,0,0
,,795,20.63206142,117.939331,0.00121319,0.27480906,0.929192,0.991319,75.578675,-0.0052,100.497,0,277.471,352.864,356.645,1022.196,0,0
,,796,20.63406923,123.693249,0.00118965,0.27326039,0.931772,0.990775,75.330574,-0.0053,100.4977,0,277.476,352.758,356.496,1022.195,0,0
,,797,20.63559386,120.583958,0.00113992,0.27202889,0.932802,0.990276,75.418674,0.0059,100.4975,0,277.462,352.667,356.406,1022.206,0,0
,,798,20.63699117,118.163476,0.0011199,0.27092544,0.934582,0.98973,75.441561,-0.0027,100.4972,0,277.445,352.61,356.332,1022.214,0,0
,,799,20.63898697,120.437889,0.00108191,0.26977167,0.935616,0.98919,75.339201,-0.0053,100.4971,0,277.466,352.529,356.205,1022.215,0,0
,,800,20.64150494,115.706394,0.00102465,0.26864138,0.939045,0.988669,75.31716,-0.0053,100.4974,0,277.466,352.452,356.073,1022.217,0,0
,,801,20.64381798,118.874038,0.0009742,0.26768977,0.936899,0.988143,75.256687,-0.0052,100.4974,0,277.472,352.372,355.985,1022.239,0,0
,,802,20.64702339,122.765344,0.0009246,0.26602072,0.937635,0.987604,75.226788,-0.0053,100.4987,0,277.467,352.347,355.954,1022.229,0,0
,,803,20.64771369,122.280491,0.00088311,0.26489281,0.934804,0.987148,75.342631,-0.0053,100.4993,0,277.465,352.3,355.893,1022.228,0,0
,,804,20.64873624,122.207542,0.00083823,0.26353834,0.934069,0.986689,75.386344,-0.0052,100.4995,0,277.474,352.251,355.825,1022.199,0,0
,,805,20.65086106,121.243194,0.00078771,0.26228447,0.934919,0.986263,75.137372,-0.0052,100.4998,0,277.478,352.176,355.756,1022.183,0,0
,,806,20.65328365,116.143328,0.00070042,0.26140508,0.935414,0.985875,75.060234,-0.0051,100.5001,0,277.499,352.123,355.618,1022.186,0,0
,,807,20.65654849,123.290515,0.00054831,0.26014535,0.942111,0.98546,75.309162,-0.0052,100.5006,0,277.49,352.049,355.521,1022.2,0,0
,,808,20.65921577,122.308367,0.00043213,0.25868715,0.939168,0.985071,75.062207,-0.0053,100.5007,0,277.489,351.93,355.344,1022.207,0,0
,,809,20.66081298,124.060395,0.00034527,0.25730816,0.940888,0.984706,75.141161,-0.0053,100.5007,0,277.488,351.83,355.224,1022.208,0,0
,,810,20.66231475,122.19065,0.00033451,0.25607256,0.945173,0.984334,75.055224,-0.0052,100.5015,0,277.476,351.763,355.171,1022.214,0,0
,,811,20.66309668,119.070255,0.00031028,0.25509731,0.940623,0.984,75.190883,-0.0053,100.5006,0,277.484,351.68,355.112,1022.248,0,0
,,812,20.66511428,117.690583,0.00028525,0.25389309,0.947186,0.983667,75.063022,-0.0053,100.5004,0,277.481,351.649,355.01,1022.256,0,0
,,813,20.66729306,119.28445,0.00026324,0.25272725,0.941194,0.983339,75.074399,-0.0053,100.4995,0,277.48,351.563,354.898,1022.269,0,0
,,814,20.66915972,121.318047,0.00025126,0.25108679,0.943293,0.983024,75.148493,-0.0052,100.5006,0,277.504,351.476,354.79,1022.286,0,0
,,815,20.67145214,116.628085,0.00025624,0.24993253,0.93971,0.982748,74.812053,-0.0053,100.5003,0,277.503,351.406,354.724,1022.266,0,0
,,816,20.6731734,121.074712,0.0002694,0.24861216,0.939048,0.982498,74.578924,-0.0053,100.4995,0,277.478,351.335,354.617,1022.266,0,0
,,817,20.67473542,121.736716,0.00029826,0.24757838,0.938358,0.982328,74.947205,-0.0053,100.4984,0,277.492,351.258,354.485,1022.284,0,0
,,818,20.6769003,118.783694,0.0003394,0.24671646,0.946483,0.982147,75.060544,-0.0054,100.4984,0,277.486,351.194,354.423,1022.279,0,0
,,819,20.67879627,123.131085,0.00027663,0.24568833,0.946326,0.981988,74.623743,-0.0053,100.4994,0,277.477,351.12,354.292,1022.288,0,0
,,820,20.68073182,120.486805,0.0002514,0.24415499,0.94878,0.981875,74.663749,-0.0053,100.4991,0,277.468,351.042,354.206,1022.292,0,0
,,821,20.68221346,119.260387,0.00019943,0.24254537,0.947922,0.981728,74.917514,-0.0052,100.4988,0,277.476,350.975,354.137,1022.28,0,0
,,822,20.68379086,120.072074,0.00021202,0.24160523,0.949092,0.981663,74.915035,-0.0052,100.4985,0,277.473,350.889,353.976,1022.287,0,0
,,823,20.68571815,121.065951,0.00021823,0.24049578,0.945852,0.98161,74.854018,-0.0051,100.4985,0,277.478,350.797,353.832,1022.256,0,0
,,824,20.6870399,128.374907,0.00013449,0.2396502,0.949787,0.981538,74.574046,-0.0052,100.4985,0,277.486,350.683,353.646,1022.237,0,0
,,825,20.68882201,125.451579,0.00010437,0.23836672,0.950928,0.981562,74.883315,-0.0053,100.4994,0,277.481,350.578,353.414,1022.234,0,0
,,826,20.69048231,120.557237,9.431E-05,0.2370113,0.948488,0.981577,74.876977,-0.0053,100.4994,0,277.491,350.441,353.278,1022.236,0,0
,,827,20.69215969,126.786128,3.531E-05,0.2359748,0.945102,0.981595,74.692545,-0.0053,100.4995,0,277.494,350.386,353.22,1022.216,0,0
,,828,20.69517286,123.779636,-1.217E-05,0.23473801,0.948401,0.981666,74.696389,-0.0053,100.4991,0,277.492,350.32,353.149,1022.214,0,0
,,829,20.69794938,124.243368,-1.529E-05,0.23379837,0.951374,0.98175,74.683885,-0.0051,100.4986,0,277.491,350.249,353.072,1022.193,0,0
,,830,20.70056334,120.436566,-0.00010432,0.2326508,0.953937,0.981826,74.722836,-0.0052,100.4983,0,277.501,350.163,352.883,1022.169,0,0
,,831,20.70388044,122.134517,-0.00013538,0.23149578,0.956295,0.982002,74.601584,-0.0053,100.4982,0,277.49,350.047,352.707,1022.166,0,0
,,832,20.70604116,123.251038,-0.00013754,0.22987918,0.955413,0.982132,74.451009,-0.0053,100.4984,0,277.494,349.954,352.525,1022.158,0,0
,,833,20.7072764,125.383483,-0.00012016,0.22841583,0.95737,0.982326,74.648829,-0.0051,100.4983,0,277.504,349.871,352.435,1022.164,0,0
,,834,20.70948166,120.175904,-3.22E-05,0.22758443,0.956832,0.982573,74.386339,-0.0053,100.4989,0,277.5,349.813,352.37,1022.162,0,0
,,835,20.71198661,125.729511,-2.431E-05,0.22681616,0.957722,0.98278,74.561125,-0.0053,100.4975,0,277.48,349.706,352.215,1022.174,0,0
,,836,20.71425258,117.74452,-3.603E-05,0.22572294,0.960067,0.983052,74.484461,-0.0053,100.4976,0,277.485,349.601,351.99,1022.168,0,0
,,837,20.71585474,119.770042,5.49E-06,0.22458983,0.96329,0.983332,74.302222,-0.0052,100.4968,0,277.502,349.485,351.781,1022.185,0,0
,,838,20.71649042,120.023852,-4.635E-05,0.22295882,0.961992,0.983638,74.245853,-0.0052,100.497,0,277.501,349.35,351.557,1022.192,0,0
,,839,20.71726141,118.041994,-4.531E-05,0.22142977,0.963587,0.983978,74.302804,-0.0053,100.4974,0,277.487,349.231,351.397,1022.205,0,0
,,840,20.71931993,125.973525,-5.993E-05,0.22064231,0.964823,0.98432,74.445679,-0.0053,100.4974,0,277.484,349.171,351.339,1022.208,0,0
,,841,20.72177024,120.150954,-9.991E-05,0.2195301,0.963805,0.98471,74.346713,-0.0054,100.4972,0,277.486,349.087,351.273,1022.2,0,0
,,842,20.72400301,119.826205,-0.00012731,0.21810392,0.963872,0.985145,74.275637,-0.0053,100.4967,0,277.485,349.036,351.231,1022.181,0,0
,,843,20.7259018,118.990252,-0.0001383,0.21669947,0.966846,0.985572,74.163687,-0.0053,100.4979,0,277.482,348.981,351.219,1022.173,0,0
,,844,20.72743619,122.918105,-7.247E-05,0.21566309,0.966806,0.986029,74.278384,-0.0054,100.4978,0,277.488,348.877,351.124,1022.174,0,0
,,845,20.72884028,124.182159,-3.194E-05,0.21431028,0.964199,0.986555,74.054914,-0.0054,100.4979,0,277.49,348.79,351.033,1022.157,0,0
,,846,20.73113478,126.554793,5.223E-05,0.21352585,0.969226,0.987006,74.253458,-0.0053,100.4984,0,277.479,348.711,350.894,1022.141,0,0
,,847,20.73356478,126.892334,5.732E-05,0.21248501,0.969952,0.987498,74.238085,-0.0052,100.4987,0,277.476,348.645,350.747,1022.163,0,0
,,848,20.73523157,125.878819,3.373E-05,0.21136808,0.970794,0.988032,74.104189,-0.0052,100.4992,0,277.487,348.542,350.614,1022.154,0,0
,,849,20.7358716,127.336643,1.924E-05,0.21003561,0.971166,0.988511,74.025806,-0.0053,100.4991,0,277.481,348.458,350.521,1022.058,0,0
,,850,20.7366709,120.258284,2.381E-05,0.20875191,0.975978,0.989037,74.178892,-0.0053,100.4988,0,277.483,348.353,350.353,1022.174,0,0
,,851,20.73824918,124.687559,5.423E-05,0.2075716,0.974316,0.989538,74.122917,-0.0053,100.4992,0,277.48,348.218,350.186,1022.237,0,0
,,852,20.74068809,123.113013,6.611E-05,0.20676392,0.976161,0.990075,74.003715,-0.0053,100.5004,0,277.492,348.091,350.042,1022.235,0,0
,,853,20.74180462,124.400373,4.228E-05,0.20552237,0.977622,0.990623,74.08806,-0.0053,100.4987,0,277.489,347.994,349.955,1022.503,0,0
,,854,20.74358719,123.040715,2.459E-05,0.20422931,0.974828,0.991148,74.144492,-0.0053,100.4982,0,277.489,347.884,349.841,1022.23,0,0
,,855,20.74627956,122.086287,3.43E-06,0.20295402,0.976074,0.991785,74.037999,0.0015,100.4978,0,277.492,347.815,349.773,1022.163,0,0
,,856,20.74696691,114.831739,-4.162E-05,0.20173424,0.977756,0.992344,74.043461,-0.0036,100.4977,0,277.486,347.758,349.737,1022.16,0,0
,,857,20.7485082,118.689539,-8.815E-05,0.20085576,0.980748,0.992912,74.035505,-0.0051,100.4981,0,277.49,347.715,349.752,1022.158,0,0
,,858,20.75101259,126.849835,-8.891E-05,0.20034662,0.979322,0.993535,74.058523,-0.0053,100.4976,0,277.494,347.663,349.667,1022.171,0,0
,,859,20.75329543,126.383026,-0.0001771,0.19970707,0.980056,0.994124,74.147531,-0.0053,100.4963,0,277.493,347.566,349.512,1022.2,0,0
,,860,20.75376225,121.69633,-0.0002128,0.19851562,0.98313,0.994655,73.760794,-0.0054,100.4967,0,277.494,347.49,349.374,1022.216,0,0
,,861,20.75507773,126.348602,-0.00015809,0.19746113,0.981938,0.995202,73.755274,-0.0054,100.4967,0,277.497,347.388,349.229,1022.241,0,0
,,862,20.75621707,122.251908,-0.00012336,0.19652567,0.984069,0.995751,74.067466,-0.0054,100.4972,0,277.496,347.275,349.088,1022.245,0,0
,,863,20.75679971,126.004287,-9.142E-05,0.19567941,0.985308,0.996249,74.121864,-0.0053,100.4974,0,277.48,347.147,348.919,1022.255,0,0
,,864,20.7588309,125.487995,-9.738E-05,0.19505892,0.984806,0.996824,74.035442,-0.0053,100.4963,0,277.491,347.027,348.808,1022.252,0,0
,,865,20.76099334,121.250599,-0.00017772,0.19411801,0.984023,0.997297,73.971113,-0.0053,100.4961,0,277.497,346.931,348.655,1022.248,0,0
,,866,20.76150872,120.717179,-0.00021076,0.1926818,0.985343,0.997802,73.86607,-0.0053,100.4958,0,277.502,346.86,348.645,1022.249,0,0
,,867,20.76276931,120.036945,-0.00021614,0.19120462,0.987457,0.998339,73.905441,-0.0052,100.4967,0,277.484,346.812,348.557,1022.227,0,0
,,868,20.76413164,123.60473,-0.00024187,0.1901131,0.987135,0.998829,73.776501,-0.0053,100.496,0,277.498,346.71,348.448,1022.23,0,0
,,869,20.76603564,124.159117,-0.00018635,0.18930616,0.986571,0.999318,73.865247,-0.0054,100.4971,0,277.518,346.641,348.366,1022.238,0,0
,,870,20.7678561,122.130568,-0.00018257,0.18867603,0.989945,0.999805,74.049879,-0.0055,100.4976,0,277.518,346.614,348.285,1022.239,0,0
,,871,20.769159,122.300066,-0.0001538,0.18734204,0.989489,1.000257,73.975594,-0.0053,100.4968,0,277.511,346.546,348.239,1022.249,0,0
,,872,20.7708909,125.479765,-0.00013727,0.1861052,0.990168,1.000712,73.744495,-0.0053,100.4977,0,277.501,346.469,348.059,1022.237,0,0
,,873,20.77245683,126.190188,-7.062E-05,0.18463445,0.991737,1.00113,73.759733,-0.0054,100.4977,0,277.512,346.385,347.953,1022.218,0,0
,,874,20.77384117,121.950463,2.714E-05,0.18367695,0.993152,1.001523,73.874903,-0.0054,100.4981,0,277.546,346.273,347.831,1022.218,0,0
,,875,20.77610208,123.259187,8.66E-05,0.182655,0.993247,1.001906,73.864806,-0.0054,100.4984,0,277.531,346.2,347.729,1022.236,0,0
,,876,20.77698911,123.485743,0.00014643,0.18185771,0.993986,1.002265,73.661314,-0.0054,100.4976,0,277.551,346.115,347.639,1022.226,0,0
,,877,20.77876174,126.176793,0.00020786,0.18096047,0.993916,1.002613,73.624328,-0.0052,100.4968,0,277.551,346.001,347.508,1022.227,0,0
,,878,20.78036318,123.690424,0.00024375,0.17984905,0.99376,1.003004,73.808108,-0.0053,100.4966,0,277.555,345.92,347.398,1022.259,0,0
,,879,20.78077948,129.970988,0.00031748,0.17849385,0.993038,1.003318,73.559394,-0.0053,100.4972,0,277.566,345.846,347.283,1022.276,0,0
,,880,20.78238248,128.314608,0.00042301,0.17747326,0.994914,1.003614,73.663593,-0.0053,100.4967,0,277.571,345.761,347.213,1022.291,0,0
,,881,20.78501368,115.187811,0.00045616,0.17645157,0.994337,1.003939,73.741378,-0.0054,100.4973,0,277.576,345.703,347.174,1022.303,0,0
,,882,20.78757008,125.019036,0.00050534,0.17557311,0.996101,1.004207,73.698752,-0.0052,100.497,0,277.573,345.63,347.067,1022.301,0,0
,,883,20.78879987,126.176744,0.00049338,0.17449214,0.997443,1.004502,73.669507,-0.0053,100.4964,0,277.561,345.52,346.892,1022.3,0,0
,,884,20.79034382,130.872082,0.00054663,0.17339696,0.996143,1.004756,73.579166,-0.0053,100.4976,0,277.572,345.424,346.753,1022.302,0,0
,,885,20.7916032,125.37853,0.00056759,0.17208193,0.998749,1.004966,73.609448,0.0059,100.4977,0,277.577,345.334,346.642,1022.292,0,0
,,886,20.79207155,120.265354,0.00058279,0.17111707,0.998318,1.005217,73.651806,-0.0026,100.4972,0,277.566,345.254,346.513,1022.289,0,0
,,887,20.79399767,121.775875,0.00061027,0.17053483,0.997762,1.005408,73.722005,-0.0053,100.4958,0,277.581,345.163,346.37,1022.293,0,0
