Time (s),HRR (kW/m2),MLR (g/s),Specimen mass (g)
946,21.963251655787698,-0.0337573333333362,71.92449
947,22.5056413045062,-0.134588166666666,71.975022
948,22.0873690902505,-0.23874758333333101,72.17756999999999
949,21.498224768244,0.107050833333333,72.345115
950,21.160977173622104,0.215708250000005,72.020263
951,21.0745223405957,-0.0293338333333419,72.001176
952,21.044714852464896,0.0341605833333318,72.014557
953,20.6069368188892,-0.00302416666666261,71.947461
954,20.2646632524775,0.0663774999999956,72.00046999999999
955,20.7067096515597,-0.0260944166666578,71.85219000000001
956,20.217990255828102,-0.11659758333333399,72.048919
957,19.5837394070435,0.0638600833333266,72.02192
958,19.8481650221966,0.0849170000000032,71.95913900000001
959,19.1846739272756,-0.0923549166666694,71.90027099999999
960,18.810082497282,-0.0720090000000037,72.09473100000001
961,18.386737836675803,0.144373833333335,71.998397
962,18.189946499014102,0.0562539166666708,71.880039
963,18.8443122902058,-0.150711083333328,71.915221
964,18.8071537611537,-0.0334917500000055,72.10436999999999
965,18.092402019775697,0.0597380833333384,71.984512
966,17.7881964829238,-0.0761337499999992,72.032466
967,17.6234379075952,0.163589583333327,72.056846
968,17.5299148244672,0.125219000000004,71.769437
969,17.9051681527489,-0.0462434166666637,71.843355
970,17.2637637576512,-0.0663680000000018,71.827166
971,17.061934694270402,-0.0858816666666643,71.963757
972,15.9323628889218,0.19092183333332896,71.936237
973,15.7705653883398,0.0123700000000018,71.685343
974,15.7119613274528,-0.0432070833333308,71.890916
975,16.011097357585097,-0.00803291666666321,71.749629
976,16.059098009567002,-0.11766200000000199,71.93204
977,16.3918344824051,0.0680141666666607,71.91794
978,15.809948283126301,0.11533458333332902,71.82545999999999
979,15.6001116286779,0.10868650000000502,71.71315899999999
980,15.775463977248199,-0.213826666666665,71.677807
981,15.988078635471098,-0.137146083333334,72.040954
982,15.9323753298947,0.239650249999992,71.8819
983,15.386797426413699,0.0205973333333323,71.70015
984,14.0373057824941,-0.114422999999994,71.827178
985,14.1699760925432,0.0695679166666695,71.850346
986,14.177687010617198,0.16586899999999802,71.710392
987,14.4103719498489,-0.0825990833333374,71.600677
988,14.5065159784055,-0.0904705833333364,71.820254
989,14.475653983387499,0.0741213333333341,71.73805300000001
990,14.0307836090502,0.0247647500000075,71.723753
991,15.074073218732,-0.15446058333333998,71.718125
992,15.2648943481592,-0.0378752500000038,71.958007
993,14.3621723533043,0.24217083333334,71.758558
994,14.7316792631964,0.0171326666666722,71.592714
995,14.579077923013502,-0.0734669166666665,71.701831
996,14.433507470345099,-0.0532819166666686,71.709783
997,14.2763145427984,-0.0824395833333291,71.813507
998,14.4218394768259,0.00647049999999775,71.846739
999,14.7410585430372,0.0450320833333275,71.808204
1000,14.070549285600901,0.19567316666666898,71.745005
1001,13.7486396364449,-0.198942999999996,71.54002
1002,13.6785428720721,-0.22625716666666898,72.049345
1003,13.548399819161599,0.31512708333332895,71.85560799999999
1004,13.911168417973098,0.270398249999998,71.55462299999999
1005,14.078269966249302,0.11430458333333197,71.36376899999999
1006,14.2870326335444,-0.196701166666665,71.359412
1007,13.9307571167678,-0.13428025,71.665575
